Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#438	3950_3_1_2_3_0	-20.66	212982161339.8193	478529965291.34216	13924.302628269765	0.5540430314627849	3973000000.0000005	7322999999.999999	3151889739.238569	7322999999.999999	3.4034748356825557	0.5853158106983511
Cell#55	3950_0_0_2_1_2	-34.61	95879787381.37506	424389919237.44495	3430.254757218201	0.6108521761199132	1956000000.0	5782999999.999999	1279140536.6221356	5782999999.999999	0.6408118578788639	0.6258164974381027
Cell#759	3950_3_1_2_1_2_1	-37.19	147418887018.84488	486470823417.4353	12417.730164013234	0.7559063282802956	29610000000.0	45795000000.0	18598285002.715443	45795000000.0	79.82258162613444	0.48038560626013727
Cell#530	3950_3_2_1_0_3	-18.44	178387911016.1078	491448348131.23254	9401.965102561144	0.5435555038964498	21732000000.0	50178999999.99999	17723614629.864475	50178999999.99999	99.92647519916373	0.5640115344828533
Cell#594	3950_0_2_1_2_3	-10.19	131892109525.2115	446905610223.8264	5558.519675700628	0.5652762761114025	6712000000.000001	18519000000.0	6027642818.149503	18519000000.0	8.698823607007354	0.48930849184354874
Cell#479	3950_3_1_2_1_0_0	-21.47	138332000346.41602	476811383704.03955	7397.407959924948	0.6217519099600285	27035000000.0	51311000000.00001	21229975586.925	51311000000.00001	59.58887663477758	0.363607727455259
Cell#305	3950_3_1_3_0_3	-13.69	145195383708.25983	359781269182.2529	5367.770088280895	0.5045963958437237	11757000000.0	21474000000.0	10148497792.048883	21474000000.0	14.331785386470342	0.3730339736550597
Cell#812	3950_2_3_0_0_3	-8.33	145548312812.39847	405593167734.05225	5753.56674783402	0.5211483923624868	20159000000.000004	54975000000.0	18480197136.42334	54975000000.0	111.97964653010898	0.5726152979529043
Cell#623	3950_2_0_0_1_2	4.5	144599180749.7635	414053025514.04175	8019.3649390459595	0.6193043868235597	8333000000.0	23740000000.0	8707566933.1541	23740000000.0	24.79252212211533	0.5718255195518653
Cell#612	3950_1_2_0	-6.91	169213179301.12817	442900763514.2805	7293.818404602479	0.5047116016235581	21970000000.0	55021000000.0	20452129334.67037	55020999999.99999	114.90264219715667	0.5241148648754299
Cell#932	3950_1_3_1_2	-34.66	99896557176.34561	313228688861.0462	3364.6805307587397	0.580659313868069	24068000000.0	48966000000.0	15725668289.184357	48966000000.0	80.95207562094156	0.5721433884466701
Cell#247	3950_3_1_1_2_0	-12.69	139015221547.49896	442695977210.2171	11743.13237714352	0.7795242357268671	14290999999.999998	40028000000.0	12476544546.485996	40028000000.0	96.55954677386903	0.7875956118424404
Cell#835	3950_3_3_1_0	-6.61	193170690082.12628	459776353486.5562	11382.244181209515	0.5522970427508391	22050000000.0	49986999999.99999	20592748494.88818	49986999999.99999	137.3820355209911	0.5691813456021032
Cell#777	3945_0_1_1_2	-21.27	129761686528.70438	430564514119.4509	6325.443673226272	0.6129132568425911	21726000000.0	51303999999.99999	17105442288.972578	51303999999.99999	82.17439860815497	0.5299488561940484
Cell#259	3948_1_1_0_0	-35.16	138039789104.89688	385643398995.86694	6095.648761395162	0.5655951544499109	9667000000.0	16149999999.999998	6268109753.008147	16149999999.999996	9.60193680396482	0.4943594374862348
